Predictor variable,Categorical,Sample average
0,false,11.598398423710112
1,false,11.785494171401202
10,false,132.7769491525424
11,false,41.54847457627119
12,false,39.79541541859255
13,false,364.7566101694915
14,false,144.92338983050848
15,false,214.94440677966102
16,false,280.84474576271185
2,false,36.9344793933933
3,false,772.2695560985501
4,false,27.43542619284937
5,false,-5.537071443654515
6,false,32.97249760579255
7,false,21.02431858709303
8,false,2.0497176913640827
9,false,990.7416949152542
