Predictor variable,Categorical,Sample average
0,false,12.541343535395507
1,false,12.044779220209257
10,false,131.53328050713154
11,false,42.72741679873217
12,false,40.37423854697903
13,false,360.51743264659274
14,false,148.54675118858955
15,false,215.34548335974642
16,false,281.11410459587955
2,false,37.828033268923996
3,false,762.2375264840346
4,false,28.381494013518804
5,false,-4.565994675272025
6,false,32.94748874398306
7,false,21.820079894526824
8,false,3.094578064601756
9,false,990.8074484944533
