Predictor variable,Categorical,Sample average
0,false,12.930266597000836
1,false,11.28834788552646
10,false,123.51970443349754
11,false,51.416256157635466
12,false,32.99416651044573
13,false,334.9802955665025
14,false,174.58620689655172
15,false,261.30541871921184
16,false,236.45320197044336
2,false,35.358890303250014
3,false,795.100901974833
4,false,28.694209065930597
5,false,-4.391461666126327
6,false,33.08567080004462
7,false,22.486517328346892
8,false,2.9408831637664674
9,false,1000.9852216748768
