X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-96.675172,32.987149,train,2.2816758662797475E-4,54.82296335133512,0.7155845135221136
-97.7743103263,30.4660179047,train,2.2054743855305317E-4,51.849910899255605,0.703387364349271
-100.158246,25.261854,train,6.26584079012218E-5,8.384891057233865,0.2919776429311295
-95.578394,28.91517,train,2.4919148090105753E-4,62.59683896955862,0.7466976514447141
-95.092077,33.059464,train,2.2236733170555553E-4,52.60345523515515,0.7063470886928832
-100.212392,25.375515,train,5.3992000383481056E-5,7.081279125103922,0.25734472602069447
-95.259,30.947,train,3.008564318009889E-4,79.95301884945206,0.809455884578614
-97.68066,32.755271,train,1.5574411102144836E-4,21.623177222477796,0.576087852899662
-95.303466,29.078206,train,2.411515626095018E-4,59.64688118276851,0.7352230280233765
-97.025499,30.383622,train,2.7028217442385616E-4,69.66876867784315,0.7744902466204507
-97.101649,32.587275,train,2.0973519326607142E-4,47.17417714942082,0.6851778154413148
-96.7488250732,32.726436615,train,2.401476408293318E-4,59.22454058503979,0.7337541913748793
-95.458949,32.628946,train,2.2960516623698587E-4,55.443031324631605,0.7178286933719984
-95.9019546509,45.106716156,train,3.2993133270435642E-6,0.25638066099169665,0.01801661453612513
-100.3545363889,25.6068158333,train,4.046062757398719E-5,5.250028431177168,0.19985200897738598
-96.286172,29.68326,train,2.5164029555133923E-4,63.73791389175827,0.7500928077270403
-95.404239,30.042286,train,2.948117075678685E-4,77.98780481898697,0.8030020660355575
-96.7571591,30.7981938,train,2.9077741529454554E-4,76.7489302160538,0.7985735629973507
-96.85608134,33.01875096,train,2.068404999922978E-4,46.080423653886584,0.6801157492003878
-99.616092,24.233352,train,4.7010441510756644E-5,6.123959895235433,0.2282166295145277
-95.669163,29.908141,train,2.6800193934133076E-4,68.96310763768318,0.7716387826111201
-95.294037,30.023565,train,2.797381441694735E-4,73.11655641533743,0.7859400275487883
-95.4169178288,29.7866810393,train,2.628278489113593E-4,67.44136360560938,0.7650340700570357
-97.073331,32.929346,train,1.9831789286087794E-4,42.4445888047493,0.6647343837170303
-96.93748,32.441299,train,2.2811486203709895E-4,54.794116733710794,0.7155018676581179
-106.5156286676,31.9162996766,train,1.6546717099800873E-5,1.9178181010600026,0.08714735120253381
-100.2765731812,25.5308551788,train,5.1453891683097466E-5,6.69193936307324,0.2468847742850181
-102.637531,33.313373,train,1.3801672652328262E-5,1.5459997831947123,0.07323404085608154
-97.746322,30.263669,train,2.2009605132280408E-4,51.62423032961157,0.7026486598757657
-95.579424,30.699335,train,2.7493869363655484E-4,71.18835229667839,0.7802031682584478
-97.9580712,26.1283176,train,1.4607314093734915E-4,19.758813880210166,0.5528839485594805
-95.3636671111,31.5913835278,train,2.838025148771663E-4,74.60082965929259,0.7906809847856411
-95.0780639648,30.2500419617,train,2.6072804584747095E-4,66.72587971436145,0.7622994936490683
