Predictor variable,Categorical,Sample average
0,false,15.140797337737244
1,false,12.294268798996322
10,false,131.842151675485
11,false,48.66225749559083
12,false,38.352458038868306
13,false,356.20723104056435
14,false,167.84920634920636
15,false,230.4126984126984
16,false,280.8932980599647
2,false,39.279466728264275
3,false,722.2322640662891
4,false,30.70926249468768
5,false,-1.369087392496244
6,false,32.07834988969133
7,false,23.882755199647665
8,false,6.135075160592131
9,false,1023.0802469135803
