Predictor variable,Categorical,Sample average
0,false,9.03970556490777
1,false,11.47946090149993
10,false,121.29421457341633
11,false,45.23507872574149
12,false,33.93445831129115
13,false,336.79787623581103
14,false,154.81160746979128
15,false,234.63767850604174
16,false,247.01336506774075
2,false,33.46021201155728
3,false,867.0570314701378
4,false,25.706324255366066
5,false,-9.560197204186773
6,false,35.26652146084149
7,false,19.530991632045296
8,false,-1.7815665228273845
9,false,965.9747345294763
