Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.23558E-9,0.000000524,0.000007945,1,0,0
6.2944E-9,0.000001153,0.000009551,0.999902705,0,0
6.55175E-9,0.000003105,0.000009942,0.999610819,0,0
7.21527E-9,0.000010684,0.000010949,0.998540572,0,0
7.84183E-9,0.000025111,0.000011899,0.996691963,0,0
8.94421E-9,0.000050433,0.000013572,0.993773108,0,0
9.89835E-9,0.000100329,0.00001502,0.988616462,0,0
1.25334E-8,0.000250691,0.000019019,0.975578906,0,0
1.8181E-8,0.000500093,0.000027588,0.959136019,0,0
2.86168E-8,0.001002513,0.000043424,0.938412142,0,0
4.48757E-8,0.002502811,0.000068094,0.898521113,0,0
6.53125E-8,0.005004158,0.000099103,0.85444639,0,0
1.1697E-7,0.010006235,0.000177481,0.798112473,0,0
3.07935E-7,0.02500736,0.000467166,0.725141078,0,0
5.42297E-7,0.050046518,0.000822568,0.667347733,0,0
1.12324E-6,0.100056169,0.001703013,0.606343647,0.002754821,0
2.3103E-6,0.200037566,0.00349962,0.547674645,0.002754821,0
3.33436E-6,0.300227036,0.005046938,0.512648375,0.002754821,0
4.30183E-6,0.400019686,0.006506544,0.486962444,0.005509642,0
5.18505E-6,0.500261277,0.007837171,0.466335863,0.005509642,0
5.98781E-6,0.600434538,0.009045035,0.448822728,0.005509642,0
6.72633E-6,0.700279927,0.010154948,0.433547383,0.008264463,0
7.21854E-6,0.75050203,0.010893983,0.426542129,0.011019284,0
7.59911E-6,0.800109251,0.011465015,0.420023351,0.011019284,0
8.53213E-6,0.900650819,0.012863614,0.407861452,0.011019284,0
9.44569E-6,1.000607012,0.014231106,0.397061685,0.013774105,0
1.04445E-5,1.101039793,0.015723999,0.387234871,0.016528926,0
1.13735E-5,1.200621058,0.017110567,0.378283713,0.019283747,0
1.22924E-5,1.300645863,0.018480151,0.370013621,0.024793388,0
1.31297E-5,1.401116633,0.019726503,0.362327301,0.027548209,0
1.41682E-5,1.501063013,0.021270044,0.355224752,0.027548209,0
1.65691E-5,1.750950211,0.024829259,0.339365635,0.03030303,0
1.91377E-5,2.001874805,0.028622836,0.325744308,0.03030303,0
2.16091E-5,2.250045087,0.032258922,0.313874295,0.03030303,0
2.4215E-5,2.501973255,0.036078122,0.303171823,0.03030303,0
2.64839E-5,2.751555544,0.03939106,0.293636894,0.03030303,0
2.87052E-5,3.002671916,0.042623605,0.284783032,0.03030303,0
3.1062E-5,3.250766642,0.046041301,0.276707531,0.03030303,0
3.31668E-5,3.500536558,0.049083414,0.269118506,0.03030303,0
3.49522E-5,3.751949333,0.051656116,0.261918661,0.03030303,0
3.69862E-5,4.003470501,0.054578759,0.255107998,0.033057851,0
3.91846E-5,4.251567544,0.057727275,0.24878381,0.033057851,0
4.11568E-5,4.500797979,0.060543055,0.242751508,0.033057851,0
4.31287E-5,4.754034929,0.063349904,0.236913796,0.033057851,0
4.50423E-5,5.001474227,0.066065821,0.231465266,0.033057851,0
4.76081E-5,5.251213486,0.069695073,0.226211325,0.033057851,0
4.98252E-5,5.504153123,0.072819673,0.221151975,0.033057851,0
5.17777E-5,5.753618856,0.075562607,0.216384511,0.035812672,0
5.45115E-5,6.003888079,0.079389652,0.211811637,0.038567493,0
5.64029E-5,6.253925393,0.082028029,0.207433353,0.038567493,0
5.8458E-5,6.500466412,0.084886306,0.203249659,0.041322314,0
6.03797E-5,6.755923686,0.087550994,0.199065966,0.044077135,0
6.32893E-5,7.003137989,0.091570746,0.195174158,0.044077135,0
6.5417E-5,7.254978301,0.094498974,0.191379646,0.046831956,0
6.76507E-5,7.500868178,0.097562967,0.187779724,0.046831956,0
7.03495E-5,7.756473128,0.101251172,0.184179802,0.046831956,0
7.30899E-5,8.000376889,0.104980731,0.180871765,0.046831956,0
7.52978E-5,8.253259692,0.107974399,0.177563728,0.052341598,0
7.76992E-5,8.505823333,0.111219041,0.174352987,0.055096419,0
8.06744E-5,8.751795338,0.115222545,0.171336836,0.055096419,0
8.27936E-5,9.005384445,0.118063283,0.168320685,0.055096419,0
8.52189E-5,9.257320394,0.1213031,0.165401829,0.05785124,0
8.73588E-5,9.507679671,0.124151759,0.162580269,0.060606061,0
8.92583E-5,9.754886686,0.12667263,0.159856003,0.066115702,0
9.20575E-5,10.008602427,0.130374327,0.157131738,0.066115702,0
9.4644E-5,10.252130781,0.133780884,0.154602063,0.066115702,0
9.67468E-5,10.501094199,0.136540443,0.152072388,0.066115702,0
9.85556E-5,10.754738771,0.138907146,0.149542713,0.066115702,0
1.00572E-4,11.00387897,0.141537857,0.147110333,0.068870523,0
1.03821E-4,11.259581187,0.145759669,0.144677953,0.068870523,0
1.05819E-4,11.500516317,0.148346006,0.142440163,0.079889807,0
1.07878E-4,11.75698883,0.151002368,0.140105079,0.079889807,0
1.09383E-4,12.006937584,0.152939975,0.137867289,0.085399449,0
1.11826E-4,12.25021781,0.156073654,0.135726795,0.085399449,0
1.1454E-4,12.510003435,0.15954261,0.133489006,0.08815427,0
1.16479E-4,12.752606527,0.162011271,0.131445807,0.08815427,0
1.19489E-4,13.000913227,0.165829637,0.129402608,0.08815427,0
1.23184E-4,13.255001912,0.170494736,0.127359408,0.08815427,0
1.27252E-4,13.505494121,0.175599568,0.125413505,0.08815427,0
1.31099E-4,13.751500069,0.180397069,0.123564896,0.090909091,0
1.34181E-4,14.003530692,0.184222112,0.121716287,0.090909091,0
1.37197E-4,14.261094882,0.187946988,0.119867679,0.093663912,0
1.4104E-4,14.512877795,0.192669007,0.118116365,0.096418733,0
1.45975E-4,14.756886225,0.198691817,0.116462347,0.096418733,0
1.49495E-4,15.00784564,0.20296088,0.114808328,0.104683196,0
1.521E-4,15.263894058,0.206104436,0.11315431,0.104683196,0
1.57183E-4,15.512794283,0.212204816,0.111597587,0.110192837,0
1.60553E-4,15.751374629,0.216222871,0.110138159,0.112947658,0
1.64305E-4,16.011999312,0.220673246,0.108581436,0.115702479,0
1.69242E-4,16.262199378,0.226489912,0.107122008,0.115702479,0
1.71692E-4,16.500781809,0.229359351,0.105759875,0.121212121,0
