Predictor variable,Categorical,Sample average
0,false,16.179298216845012
1,false,11.832568182236308
10,false,141.16904276985744
11,false,36.13034623217923
12,false,54.930950314352806
13,false,377.88594704684317
14,false,126.45621181262729
15,false,209.9002036659878
16,false,286.10386965376784
2,false,43.819616865480505
3,false,588.6269892364315
4,false,29.75753387171479
5,false,1.8802158970029195
6,false,27.87731796466649
7,false,23.32185397565729
8,false,8.920831325412736
9,false,954.8615071283095
