Predictor variable,Categorical,Sample average
0,false,16.861414636345213
1,false,12.310993522956062
10,false,148.04749340369392
11,false,23.984168865435358
12,false,66.48934121748388
13,false,396.0844327176781
14,false,89.06332453825857
15,false,187.02902374670185
16,false,291.94459102902374
2,false,47.440387368516745
3,false,521.5707432487709
4,false,29.790858507785444
5,false,3.4100066395485675
6,false,26.380851884001476
7,false,23.248761456371298
8,false,10.546289532000596
9,false,896.353562005277
