Predictor variable,Categorical,Sample average
0,false,16.41251698719558
1,false,12.488611377182828
10,false,144.25806451612902
11,false,26.56774193548387
12,false,63.0415733604021
13,false,387.85376344086023
14,false,98.24086021505376
15,false,177.68387096774194
16,false,301.1483870967742
2,false,46.2357177406229
3,false,555.240660374139
4,false,29.920626950007613
5,false,2.3956140838763726
6,false,27.525012865374165
7,false,23.235122902162612
8,false,9.694960841881011
9,false,907.0559139784946
