Predictor variable,Categorical,Sample average
0,false,19.47796263013567
1,false,12.5620037487575
10,false,121.31168831168831
11,false,27.61038961038961
12,false,57.853564225233995
13,false,323.2857142857143
14,false,100.94805194805195
15,false,242.02597402597402
16,false,179.71428571428572
2,false,45.20030110842222
3,false,587.5347733931108
4,false,33.42845815187925
5,false,5.002562370973748
6,false,28.425895839542537
7,false,26.57526831193404
8,false,12.247458836281455
9,false,784.5844155844156
