Predictor variable,Categorical,Sample average
0,false,15.993851248625736
1,false,12.317157704055688
10,false,146.0815286624204
11,false,37.70955414012739
12,false,52.4267831036999
13,false,397.5108280254777
14,false,134.4203821656051
15,false,219.9248407643312
16,false,312.10828025477707
2,false,43.75998924158181
3,false,605.5917635777953
4,false,30.074149079535417
5,false,1.304715718845481
6,false,28.769433311899757
7,false,23.390092786558114
8,false,8.586601685540407
9,false,1011.943949044586
