X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-97.417252,25.85343,train,8.835430119721905E-4,82.27416209995391,0.9370104113991653
-98.940854,24.057829,train,2.7185047308334693E-4,40.63736123709431,0.5728736610362744
-98.1393649244,26.0800936539,train,7.598815106888073E-4,76.63416744841791,0.9072477975946229
-97.151119,25.997052,train,4.84888550399923E-4,61.54155323495475,0.7807000642838583
-97.8087383333,27.298975,train,5.752062460390808E-4,67.48073932101536,0.8346907571274942
-98.1353305,26.2915583333,train,7.133994148075135E-4,75.15970713431908,0.8927263141151686
-96.980259,28.125307,train,7.525888467419826E-4,76.27324646819916,0.905106835376077
-95.28719193,30.02679923,train,5.889642009645622E-4,68.2035104657431,0.8416565387326947
-98.499854,29.310954,train,3.4447677518451464E-4,49.53582365814011,0.6597034744902144
-97.979150712,26.0048392809,train,8.03034454174964E-4,78.75416019091135,0.9189637076604349
-100.357375,25.68668,train,4.3041701845644443E-4,57.522149785905,0.7399450728253553
-101.1271914839,27.8494990021,train,2.572835179807381E-4,38.850952201746885,0.5529534127675232
-100.3520393372,25.6048960041,train,2.9763484979698985E-4,43.81540934063029,0.6059825155378258
-97.6298755992,30.4460098675,train,2.989698998131334E-4,44.11448291081979,0.6076251464089872
-100.019994433,25.962431598,train,3.523718099448144E-4,50.4960090348085,0.6680075586973462
-96.309533773,30.5416067356,train,3.9355388085236044E-4,55.04584316880025,0.708148496334847
-95.4495835304,29.7625280219,train,5.923938078177695E-4,68.48527004228238,0.8433467848383296
-97.2085844,26.0734119,train,6.537741515502152E-4,72.51857306060309,0.8707222798894925
-100.1221847534,25.7794888132,train,2.927547096281102E-4,43.33883203074434,0.5999193161099579
-95.2659835815,29.7031898499,train,5.60486330733752E-4,66.60165283420703,0.826898257508229
-99.9191027958,24.3016772228,train,1.6617525375628927E-4,23.983267449925687,0.4054771777391073
-97.1727166667,28.72046,train,5.415375798509935E-4,65.50787563124514,0.8163238734566595
-100.1630233333,25.3661133333,train,2.1457564743656868E-4,32.44196700780302,0.4890332976616262
-104.7043611111,24.0093888889,train,8.840409608845566E-5,10.548515698340365,0.24166830825529795
-100.2910739778,25.9607294614,train,3.2549621879801507E-4,47.50015387410767,0.6388796098036519
-101.58034419,27.96331046,train,1.9342150418797895E-4,29.512541848205384,0.45406493287209404
-101.73556215,28.03508511,train,1.6954322605526294E-4,24.821702278281037,0.4117099939302362
-101.43082255,27.98126116,train,2.2249837124459535E-4,33.766582342710336,0.501545350284142
-106.7820098368,32.2928348918,train,7.3421675975607145E-6,0.867602815285984,0.022713217323328094
-95.5597373054,29.7618513257,train,6.127021188138149E-4,70.42413373058434,0.8529921913867798
-95.1866032195,29.5017636686,train,5.262728454705528E-4,64.18861704345383,0.8073373977735873
-97.7290416667,30.259225,train,3.630312665153143E-4,52.023672739384466,0.6788987180688196
-99.2235241178,28.4192252113,train,1.9977258044138885E-4,30.615809967377785,0.4648076396219323
-100.2943878174,25.7426242828,train,3.652064323769744E-4,52.285483173143476,0.6810768843652959
-97.3478970957,26.2289921288,train,9.844252671166065E-4,85.15991312934565,0.9540621979003164
-96.8525926146,32.5742573902,train,2.34189842185832E-4,35.52527636773455,0.5194517590521708
-99.9565429688,25.4667758942,train,2.5227361538830283E-4,38.1453695699631,0.5458898382779112
-97.2757412144,25.9633959561,train,8.620266166224792E-4,81.58329168687699,0.9326233424601366
-100.2068744052,25.6321859344,train,2.798393182342431E-4,41.79333839501814,0.583418915394409
-98.2112162,26.2315925,train,6.061401274604803E-4,69.82593122683255,0.8499423563826133
-97.476129,26.019289,train,9.912146038478444E-4,85.28338992523157,0.9550278622247307
-97.719642596,26.1749770389,train,8.839944799543616E-4,82.28319711924085,0.9370993361773157
-98.4063190788,29.6625935944,train,3.7185772782323263E-4,52.861958130045785,0.6876461123332525
-97.6840116667,26.1628366667,train,8.424547735226941E-4,80.83362224332197,0.9283679278123087
-97.6638770756,26.1860286724,train,9.803516984008848E-4,85.0858203546981,0.9534728795304253
-100.5791168213,25.795249939,train,2.5843019653687025E-4,39.000445570851504,0.5545546266254676
-100.1696410987,26.487182146,train,3.302235749115231E-4,47.94295706782773,0.6441822951745593
-98.380866414,26.1836866848,train,5.351879550080216E-4,65.02495123868441,0.8126378654237296
-98.060565,27.78963,train,4.138749420420334E-4,56.196464736139106,0.7261292199807579
-106.5627597954,31.7927112826,train,8.486915642562959E-6,1.020331175887658,0.026207742003979684
-95.56507,29.98809,train,6.138556536458141E-4,70.5002172405731,0.8535218808405253
-97.8019132407,26.4709571629,train,8.10680127928797E-4,79.09970508864639,0.9208794816019833
-99.4282285497,27.5694358438,train,2.919180505920736E-4,43.265703660011546,0.5988705020035243
-99.149885,26.585348,train,3.393403568895076E-4,49.146498001850965,0.6541897310090097
-95.5766312477,28.9135521674,train,6.101411437524828E-4,70.25521991345921,0.8518093653100229
-96.9850144451,32.8675738797,train,2.3875803782502316E-4,36.222205315302,0.5262722416187426
-98.6058717315,29.4933979959,train,3.823454130481072E-4,54.27955768311952,0.6977305918252609
-98.6250533333,29.6554283333,train,3.497696309978783E-4,50.09461751808343,0.6652931919405676
-96.6088,32.753775,train,2.3501889980234578E-4,35.6467376160795,0.5206968247902857
-97.9199414066,28.1218925856,train,4.8084687890996233E-4,61.26749950086673,0.7779089185364676
-97.5660466667,25.99567,train,7.952200782057316E-4,78.45915691561427,0.9169577196408061
-98.3392778658,28.4735457292,train,2.998843883691412E-4,44.29922661014515,0.6087463694010304
-97.8081794377,30.1587604935,train,2.8401768536897307E-4,42.266554918276725,0.5888302431987074
-100.3282165525,26.0586833953,train,3.316840674619242E-4,48.14256183614692,0.6458047352847738
-96.0349853812,29.5382768222,train,4.1244232218280664E-4,56.02869148792196,0.7248987124108274
-99.0813826688,24.0515604833,train,2.795016951957203E-4,41.702037647941545,0.5829785685860877
-96.1764252238,30.3935039254,train,3.679895780731556E-4,52.534616907150756,0.683842335373898
-98.417225,29.4862222222,train,3.8893379910247164E-4,54.83041458136756,0.7038985004309658
-96.5290942211,28.7062987122,train,7.665460721306078E-4,77.26334215139978,0.9091620928356061
-98.2360429689,29.7926410913,train,3.1689744884309226E-4,46.32938379974386,0.6290309284451615
-97.9905679722,29.1279749722,train,3.77562642279287E-4,53.50564025174175,0.693172726423307
-96.97128,50.59139,train,9.005803561233857E-7,0.09147819252466607,0.0028141320284247318
-101.3141208887,27.7291974826,train,2.511608261311109E-4,38.00632255035171,0.5443058050038266
-98.5649975118,29.2542668269,train,3.1316321956359125E-4,45.8570073978133,0.6246706687864618
-97.1793666667,32.7230533333,train,2.1621197782630846E-4,32.72465496678012,0.4916429700192205
-101.1911717802,27.8917061021,train,2.448502198455881E-4,37.102849306313445,0.535217696991061
-95.473989,29.654615,train,4.922255943100047E-4,61.935259701492335,0.7856776351668863
-106.686717,24.423573,train,3.48087857926442E-4,49.850301545332776,0.6635271175176813
-95.755975,30.2015633333,train,4.125791562649289E-4,56.04471604480396,0.7250164805273256
-96.888275,28.4536138889,train,8.208774550911114E-4,79.56804503955145,0.9233643227947542
-97.4672258284,28.672424361,train,4.8061462776102787E-4,61.25174763864409,0.7777474527130057
-99.6401286729,30.8851708354,train,7.266116864089705E-5,8.198975320175633,0.20337528123459947
-99.1106192212,26.708543849,train,3.317912269009956E-4,48.155882754731074,0.6459234854350439
-97.7803277778,30.37875,train,3.480610667920599E-4,49.84518297892541,0.663498908161517
-98.856195331,26.3713360602,train,3.5788522141268875E-4,51.26706887042145,0.6736861607352865
-95.7441633333,30.0738,train,4.213659794278102E-4,56.79423020181643,0.7324743607327011
-95.1656740532,29.5194429998,train,5.955600724844586E-4,69.04776256843678,0.8448912233823203
-97.7041033737,28.322792311,train,4.6635928483400167E-4,60.30448292342556,0.7676087894946484
-98.2651610027,26.1659168703,train,6.640644885583365E-4,73.10810688783083,0.8748187857554912
-100.5049362181,27.0267162322,train,3.1622974800337784E-4,46.248819595154615,0.6282550258509774
-103.4348519,25.5352459,train,1.811697039257727E-5,1.995835387166195,0.05511465411397798
-98.8131416667,26.3905966667,train,4.2357842718784047E-4,57.009394048614375,0.7343200974312261
-100.4734316481,25.9295689034,train,3.757478468227662E-4,53.24438070702402,0.6914253391204459
-97.6977758995,30.5102771771,train,2.844119257351348E-4,42.31575851212597,0.5893371734312771
-95.54766,30.7105266667,train,3.8863429299194663E-4,54.81668311267788,0.7036208594169671
-98.1400372866,30.4811259463,train,2.6531251698008263E-4,39.86006689472723,0.5640452559354625
-101.4152851972,26.9477073,train,2.2435144345413606E-4,33.929400863060856,0.5044273454130366
-101.8852833333,33.5836116667,train,3.0086934609175312E-5,3.2247459214433367,0.08985207621994595
-95.323555,30.292805,train,4.689599056587382E-4,60.45068495744294,0.7694922851125707
-97.17061111,27.67072222,train,6.05838382858226E-4,69.78946225918934,0.8498006020043934
-97.4872133333,35.6831366667,train,6.000496521803063E-5,6.543548949428036,0.17119281899685368
-96.5938861111,32.9206277778,train,2.340811436151795E-4,35.50935146236998,0.519288277600386
-97.0100027833,28.1351888333,train,8.092448108674476E-4,79.0370452436254,0.9205233205467446
-97.931145,29.8913966667,train,2.979261276536985E-4,43.875156068100324,0.6063414861161476
