Predictor variable,Categorical,Sample average
0,false,19.595044424659328
1,false,12.360921916208769
10,false,125.13157894736842
11,false,30.31578947368421
12,false,55.6393377153497
13,false,332.2236842105263
14,false,109.71052631578948
15,false,257.05263157894734
16,false,180.51315789473685
2,false,44.622409895846715
3,false,591.2034703304893
4,false,33.476731501127546
5,false,5.1495774653004975
6,false,28.327154109352513
7,false,26.717369757200544
8,false,12.292197159050327
9,false,824.5394736842105
