Predictor variable,Categorical,Sample average
0,false,14.604023100872016
1,false,12.214062833433125
10,false,138.3168362627197
11,false,50.17853839037928
12,false,37.61656162674839
13,false,377.8496762257169
14,false,173.58510638297872
15,false,250.92923219241442
16,false,294.18686401480113
2,false,39.36903636484208
3,false,713.977395459086
4,false,30.01949800373116
5,false,-1.7457329201302125
6,false,31.765230966209813
7,false,23.27456383524285
8,false,5.733959446464528
9,false,1073.9389454209065
