Predictor variable,Categorical,Sample average
0,false,8.633716964794496
1,false,11.328927000604873
10,false,122.55140003916193
11,false,44.87683571568436
12,false,34.284860026096446
13,false,340.71490111611513
14,false,153.8821225768553
15,false,234.0810652046211
16,false,249.3287644409634
2,false,33.19630939871312
3,false,867.9905733041668
4,false,25.226299289810182
5,false,-9.90809565561011
6,false,35.134394947460585
7,false,19.138917977034474
8,false,-2.190241987819041
9,false,968.8907382024672
