Predictor variable,Categorical,Sample average
0,false,10.939196516875919
1,false,11.693855532543248
10,false,124.92457072771873
11,false,48.32113654946852
12,false,32.853779199663386
13,false,346.18826655764514
14,false,165.54517579721994
15,false,245.9192559280458
16,false,255.55764513491414
2,false,34.716550922939646
3,false,833.5513757813299
4,false,27.367753399071496
5,false,-7.216559250185444
6,false,34.58431266120293
7,false,21.024967753682482
8,false,0.5148280460838376
9,false,1008.7416189697465
