Predictor variable,Categorical,Sample average
0,false,13.600283506268715
1,false,12.139322520958553
10,false,133.31138628813048
11,false,52.53276955602537
12,false,33.363172972537136
13,false,366.02476593174265
14,false,180.2132286318333
15,false,255.48927816369678
16,false,281.1528239202658
2,false,37.53098549492876
3,false,763.1017626201016
4,false,29.577897935070613
5,false,-3.5186313290803573
6,false,33.09652926388265
7,false,22.857479001560517
8,false,4.078449851616979
9,false,1072.6106916339475
