Predictor variable,Categorical,Sample average
0,false,16.74770353090428
1,false,12.37088775756719
10,false,146.69565217391303
11,false,24.265984654731458
12,false,66.01778587721803
13,false,393.4757033248082
14,false,90.30946291560102
15,false,185.9309462915601
16,false,292.00255754475705
2,false,47.259234025960076
3,false,527.9048099371479
4,false,29.796980157837538
5,false,3.1724628273316102
6,false,26.62451732859892
7,false,23.220404224932345
8,false,10.361393453786745
9,false,895.4578005115089
