Predictor variable,Categorical,Sample average
0,false,15.994076599296578
1,false,12.360549447309278
10,false,146.0142387732749
11,false,40.59036144578313
12,false,49.93817189175876
13,false,396.84556407447974
14,false,143.46768893756845
15,false,228.89923329682367
16,false,310.84008762322014
2,false,43.29380708926348
3,false,619.153959109253
4,false,30.273918176924674
5,false,1.0741608766976158
6,false,29.199757261579165
7,false,23.544195722515195
8,false,8.392403878922384
9,false,1032.8466593647317
