Predictor variable,Categorical,Sample average
0,false,16.30221175500756
1,false,12.391211669225157
10,false,147.72694394213383
11,false,30.023508137432188
12,false,60.07296646007793
13,false,398.3128390596745
14,false,109.86980108499095
15,false,186.5877034358047
16,false,315.29656419529834
2,false,45.58576877035241
3,false,565.5125400481129
4,false,29.904023434326835
5,false,2.18657223972918
6,false,27.71745119732931
7,false,23.244747579205534
8,false,9.445511886934206
9,false,954.3996383363472
