Predictor variable,Categorical,Sample average
0,false,9.227143780789847
1,false,11.392048862357123
10,false,120.03750586029066
11,false,51.33239568682607
12,false,29.502278946958345
13,false,333.63291139240505
14,false,173.62962962962962
15,false,255.78902953586498
16,false,243.3750586029067
2,false,32.66437390037283
3,false,886.5637830402501
4,false,26.13506577264184
5,false,-9.59554922877035
6,false,35.730615021642585
7,false,19.92700171705372
8,false,-1.8855414717905512
9,false,1005.8138771683075
