Predictor variable,Categorical,Sample average
0,false,10.335322743932347
1,false,11.728232147706953
10,false,126.45474860335196
11,false,44.33463687150838
12,false,36.562116740935345
13,false,348.7927374301676
14,false,152.504469273743
15,false,224.8508379888268
16,false,265.1167597765363
2,false,35.47117372544784
3,false,816.4090590663462
4,false,26.644373644397245
5,false,-7.475450594611492
6,false,34.11982424325783
7,false,20.268667311641757
8,false,0.20775103986578053
9,false,980.4843575418994
