Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.84407E-8,0.000003844,0.000049369,1,0,0
5.53477E-8,0.000013388,0.000071082,0.999801607,0,0
6.58678E-8,0.000026309,0.000084593,0.999603214,0,0
6.84854E-8,0.000053278,0.000087954,0.999206428,0,0
7.24427E-8,0.000103144,0.000093036,0.998512052,0,0
7.74835E-8,0.000253869,0.00009951,0.996528122,0,0
8.41396E-8,0.000505066,0.000108057,0.99345303,0,0
9.64849E-8,0.001004475,0.000123911,0.987997222,0,0
1.23244E-7,0.00250749,0.000158274,0.974506497,0,0
1.47554E-7,0.005007869,0.00018949,0.956353536,0,0
1.81993E-7,0.010009587,0.000233712,0.926197798,0,0
2.95762E-7,0.025009584,0.000379785,0.862811229,0,0
4.75123E-7,0.050030086,0.000610029,0.797936713,0,0
8.1589E-7,0.100048832,0.001047325,0.719075489,0,0
1.58569E-6,0.200058724,0.00203448,0.631584168,0,0
2.46956E-6,0.300081575,0.003166704,0.581390735,0,0
3.3837E-6,0.400004592,0.004336367,0.547663922,0,0
4.14293E-6,0.500398377,0.005306765,0.521079258,0,0
4.86755E-6,0.600068885,0.006232054,0.499057633,0,0
5.62779E-6,0.70030987,0.007201893,0.480011904,0,0
5.88771E-6,0.750482231,0.007533257,0.471381807,0,0
6.19192E-6,0.800007581,0.007920949,0.463247694,0,0
6.74065E-6,0.900269072,0.008619866,0.447872235,0,0
7.36899E-6,1.000365728,0.00941958,0.433786331,0,0
7.95252E-6,1.100122372,0.010161695,0.420890785,0.01,0
8.60481E-6,1.200788948,0.010990594,0.408788811,0.02,0
9.21721E-6,1.300220605,0.011768167,0.397777998,0.02,0
9.87531E-6,1.400511962,0.012603083,0.387362365,0.02,0
1.06216E-5,1.50088324,0.013549061,0.377641107,0.02,0
1.24052E-5,1.750155392,0.015806197,0.356214661,0.03,0
1.44121E-5,2.000775397,0.018339628,0.337565718,0.03,0
1.61558E-5,2.250537076,0.020535669,0.321396687,0.03,0
1.76942E-5,2.500609929,0.022468988,0.306715604,0.04,0
1.99279E-5,2.750833244,0.025269226,0.293423272,0.04,0
