Predictor variable,Categorical,Sample average
0,false,17.28298843676044
1,false,12.295678473288014
10,false,122.24193548387096
11,false,35.346774193548384
12,false,51.59918838931668
13,false,324.241935483871
14,false,122.36290322580645
15,false,238.41129032258064
16,false,202.76612903225808
2,false,42.297630125476466
3,false,642.7277229062972
4,false,31.755189541847475
5,false,2.0405415336811736
6,false,29.714647908364572
7,false,25.03585494718244
8,false,9.340768513900619
9,false,844.1048387096774
