Predictor variable,Categorical,Sample average
0,false,15.213440072627595
1,false,12.294015473504295
10,false,138.79638637943015
11,false,46.826268241834605
12,false,41.58669887705757
13,false,377.9207783182766
14,false,162.9221681723419
15,false,242.39680333564976
16,false,293.76372480889506
2,false,40.66218269061844
3,false,685.2420744428707
4,false,30.30106859293309
5,false,-0.7173822778355411
6,false,31.018450872859994
7,false,23.541190820074977
8,false,6.724277896831839
9,false,1048.7261987491313
