X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-97.1146494534,32.7895354524,train,2.3726130082147632E-4,33.58709273053316,0.4594937917139441
-95.4495835304,29.7625280219,train,3.981999534270052E-4,45.44182560478381,0.643914297728393
-98.3792940963,26.1860178966,train,8.429839733277659E-4,67.92356085155473,0.8876308868924938
-97.9564077475,26.1266341562,train,0.0010936466127071972,75.7790019665944,0.9413382116333466
-99.999833107,29.6081255691,train,2.3177458952519067E-4,32.82801656786093,0.45174863705350776
-97.173705,26.1375695,train,0.001711232753405812,91.38537704855435,0.9881739109317164
-97.5628711852,26.2667303739,train,0.0012883838210302951,81.89293095018898,0.9645965295360313
-97.4176704481,25.8500105368,train,0.0015977991658938481,89.0636346483987,0.9841295966135177
-97.3471833333,26.2290166667,train,0.0017800660190659047,92.26432374087169,0.9901071280502582
-98.2292866667,26.176905,train,0.0010207370338518765,73.62856116508279,0.9291296258521822
-97.69289732,26.1821589682,train,0.0010641304243965597,75.02865992219272,0.9366719832790923
-103.2258806192,29.3110953318,train,8.804638801664459E-5,13.062543273471114,0.20412698968249354
-103.50666167,29.99462167,train,2.2570920683687084E-5,2.0904188783360196,0.05684940243362069
-100.30216167,25.75432,train,3.582922027970887E-4,42.36877181887156,0.6050902003866692
-98.137972,26.080743,train,0.0010738715128478194,75.41549026285244,0.9382516080011402
-102.9971861111,29.1790972222,train,1.7871710001804124E-4,27.992642054054283,0.37088203231013794
-97.5683395252,25.9968523134,train,0.0013567409846156322,84.13345351967271,0.9703473674527757
-99.5053166667,30.0633611111,train,1.5451542035060703E-4,24.874879029035665,0.33013455483625
-101.2961080833,27.9183177222,train,1.6483599301599013E-4,26.125760187141694,0.34782411488112275
-95.5803080997,29.3720208997,train,3.035064403315253E-4,38.72344461890987,0.5448058952001833
-106.6863709722,24.4235269722,train,6.353650908855033E-4,58.06213179696467,0.8074854670306011
-96.9845274278,28.1298196782,train,0.0013264664451101834,83.43854003721945,0.9679256484127903
-98.0375661667,29.2612018889,train,3.7463682944272687E-4,43.76131845255498,0.6214782032754053
-100.26988,25.549613,train,1.9963209588914023E-4,30.193049843499754,0.4040936611515372
-95.5846116667,28.88282,train,6.200009620936E-4,57.11016668504538,0.79966062279337
-103.5826682299,25.496241753,train,1.9523653984412123E-4,29.77750249644975,0.39726251787256484
-80.3928438853,25.6048306497,train,0.001522539994524765,87.99963524094518,0.9807095010767449
-80.21228,26.49949667,train,0.0013083930059328535,82.79891262293722,0.9663866451512687
