Predictor variable,Categorical,Sample average
0,false,13.665193827049281
1,false,11.397717303215863
10,false,129.82724252491695
11,false,49.68770764119601
12,false,38.39896343237538
13,false,350.9169435215947
14,false,168.67774086378736
15,false,253.32558139534885
16,false,253.16611295681062
2,false,37.2549760698084
3,false,742.9266074044364
4,false,28.866786785696036
5,false,-2.8542038171592345
6,false,31.720990653053867
7,false,22.61818456808198
8,false,4.392183267594968
9,false,1010.1594684385382
