X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-100.365277,25.798515,train,2.145623542443785E-4,54.44461343854796,0.7288279394109803
-98.188483,29.617752,train,2.697201450620652E-4,66.32767352806539,0.8061130551219768
-99.164078,24.008639,train,2.926697935405483E-4,69.74187292252648,0.8313725431329454
-99.1427166667,26.58292,train,2.9039394428522934E-4,69.44362664568791,0.8290221604127246
-97.873864,30.185568,train,2.3500726805482264E-4,59.704754707740776,0.7605356939707809
-100.163826,26.4617129999,train,2.607479478775146E-4,64.76461800582514,0.7952385720334477
-98.990225,26.601252,train,2.9628532769082047E-4,70.30444349624668,0.8350402275178617
-98.7470466667,29.4735633333,train,2.602040530341171E-4,64.68499902809498,0.7945600886877063
-95.6733093262,29.6336536407,train,3.481993845989752E-4,75.76431281067359,0.8797043769380302
-96.6168466667,33.1602463889,train,1.7378913859148148E-4,44.7261095470842,0.6525076692269167
-98.5302283333,26.2717416667,train,3.3666879387209435E-4,74.78294131365107,0.8709650765056407
-100.841975,24.55759,train,6.611765190797136E-5,18.405687117209496,0.3311114906293351
-98.135438338,26.0799482279,train,3.8403407427806845E-4,79.26916559679853,0.9032626030470661
-98.3660010249,26.1774155125,train,3.5510562034881126E-4,76.51819024323427,0.8846527164948335
-97.4171416667,25.85108,train,4.732822807152015E-4,88.2569997885524,0.9437852864985796
-97.253795,25.963398,train,4.887683576986194E-4,89.08660572579306,0.9488383724152288
-97.151119,25.997052,train,4.999640409289269E-4,89.65733650817496,0.9522062013447884
-100.039725,25.8738166667,train,2.66674159062558E-4,65.75964919202995,0.8024875948182973
-100.94847,25.3679533333,train,8.575833876117371E-5,23.505318123623624,0.4064273187834866
-98.8832187653,29.5963064058,train,2.2754872497082667E-4,57.86568047121567,0.749422464818657
-95.28719193,30.02679923,train,4.367825540403956E-4,84.73514767871222,0.9298121255832053
-100.3020194082,25.9188709519,train,2.484814827054041E-4,62.61695645444036,0.7793777214519778
-99.974945,24.5760333333,train,8.976841453079891E-5,24.51255067088686,0.4207293794144066
-97.772644,30.269501,train,2.6928514228804644E-4,66.22458699679812,0.8055993985996248
-95.661785155,29.731301508,train,4.152879026331946E-4,82.46056219631123,0.9200093787057976
-95.6234125662,30.5665847231,train,3.2663621073357436E-4,73.46417736759238,0.8628462128692944
-106.1264723261,32.7829426574,train,4.423448038101787E-5,12.429908967735905,0.23588808762799018
-104.5667218511,32.1138445381,train,5.132358523672958E-5,14.482356363923778,0.26813416059183315
-97.748225,30.502375,train,2.3166343369300637E-4,59.005368610550924,0.7556156738667926
-95.7421720494,29.8323794687,train,3.6182815248559877E-4,77.29843803908737,0.8892738601791031
-98.29887269,29.38789529,train,2.746385176335501E-4,67.25737582430145,0.8118271565177151
-104.8250116667,31.8952916667,train,4.4661311832935916E-5,12.571566867101986,0.23786919196139822
-97.7530444444,30.3929138889,train,2.518111110700565E-4,63.207616574872745,0.7838006772528147
-95.3961966746,29.7631986765,train,4.509328420920964E-4,86.50633479327797,0.9356001499280333
-97.1144413,32.7903322,train,1.9794236957892413E-4,50.166281865335684,0.69998308036844
-97.620426714,30.5608217388,train,2.3276095835127793E-4,59.1855876238008,0.7572415837946509
-100.5899619,25.8092806,train,1.8603989831057148E-4,47.48884017801249,0.6774585803334877
-95.5599899292,29.9870452881,train,4.0204023998939245E-4,80.94963010866816,0.9132974107993008
-97.8586497222,30.3591072222,train,2.4298232838543068E-4,61.578589771343765,0.7718738403159044
-98.8086316264,26.3680990705,train,3.1655024572302713E-4,72.51799441924555,0.854169170984628
-100.1663665771,25.4326725006,train,1.8782382301167953E-4,47.97334719053825,0.6809392726895955
-102.1151733398,26.9287226296,train,1.8219691038784646E-4,46.69338366587765,0.6698308120551741
-102.54164107,31.79501114,train,8.021609206058837E-5,22.169506166154232,0.3860776350973443
-106.8272618641,32.2665918855,train,4.971015296809498E-5,13.93695850039733,0.26091689938350926
-96.2123468561,30.5648220841,train,2.8383525681294447E-4,68.64810653715793,0.8220638253490212
-95.6998966667,30.5186366667,train,3.0806908169572983E-4,71.75929706821829,0.8464492688142583
-97.4491055556,30.1357583333,train,2.5546996195847016E-4,63.96216191160466,0.788558773682741
-98.1376945,29.7120416667,train,2.570638035063051E-4,64.27261608206885,0.7905985805872316
-102.3199715183,31.8892274591,train,8.973932338977336E-5,24.503387299873445,0.4206268760197637
-95.7201485989,30.4176054569,train,3.326478798781535E-4,73.96942212072955,0.8677705171732191
-98.5860524,29.5550332,train,2.6049080413614184E-4,64.72697557904661,0.7949180769760738
-98.1872690465,32.2163817765,train,1.5097337834777959E-4,39.92216672057683,0.600780411630679
-98.0090850262,29.9377555111,train,2.4274238953291664E-4,61.509108299433485,0.7715406823769538
-100.3583602905,25.6248130798,train,1.4757675829870476E-4,39.172880868567134,0.5924472443864044
-98.1643600464,33.2094764709,train,1.3721761084571364E-4,36.292166917822485,0.5659427930473817
-97.3777253628,30.6656116529,train,2.3648863505206928E-4,60.09203491915393,0.7626835541862882
-100.4581,25.9667333333,train,2.026886435809363E-4,51.431823201474494,0.7085200293622618
-106.5517959444,32.3707313333,train,3.9220302667228656E-5,10.830969861823174,0.2122259795986594
-103.172705,29.2029466667,train,8.592115157623193E-5,23.547807888525334,0.40701481496097935
-98.3915866111,30.73381,train,1.9149381602046874E-4,49.02678368667228,0.6879822797907974
-102.1463984438,31.5595055279,train,9.067266481460342E-5,24.800463441242627,0.42390650225884463
-98.2665684131,26.204918888,train,3.9014198430155204E-4,79.9779512614473,0.9067903929184007
-101.58034419,27.96331046,train,1.7482139554936488E-4,45.004636018033736,0.6546825126646284
-101.73556215,28.03508511,train,1.5678424163225442E-4,41.24955613290407,0.6146434405115533
-99.0889966533,26.4766279175,train,2.991415377273386E-4,70.75851427093212,0.837881147198947
-95.0775457174,29.5919333026,train,5.133203721663022E-4,90.5062705318666,0.9559352297253915
-97.168307,30.084657,train,2.574980865898195E-4,64.32544289571327,0.7911509589526413
-97.4397666667,26.0883316667,train,4.5721010626447524E-4,87.02650069980793,0.9380125463595201
-97.347625,26.2291616667,train,4.664288747849683E-4,87.64011186483187,0.941392538726315
-106.6552198551,24.0907436656,train,2.716470383052777E-4,66.73895769480035,0.808372081914865
-98.3312003862,26.1396767921,train,3.827834198645587E-4,79.16441678708418,0.902523947266408
-97.6627587818,26.1855823624,train,4.1912315820877435E-4,83.01302389714562,0.921853695337245
-99.755086,29.428225,train,2.0911886844126386E-4,53.13294597219789,0.7196996630793007
-97.1254538745,49.8830187125,train,1.4815422168384179E-5,1.5154890263121272,0.08616907804023533
-100.5037765503,27.0270767212,train,2.348374235399176E-4,59.64458502425449,0.760288194531816
-97.2251261026,49.820421274,train,1.5119835508176361E-5,1.676086996265999,0.08785946102996178
-97.7020414582,26.1588244323,train,4.0421533600191995E-4,81.21862835420562,0.9144368693562057
-98.8549754941,30.0699680645,train,1.753697876767375E-4,45.1483024165825,0.6558323681962782
-95.264517815,30.2119965552,train,4.0250603240394916E-4,81.00435581605163,0.9135426935507658
-95.9268986,30.0566085,train,3.177483364310852E-4,72.62944070078109,0.8552279741408187
-99.9140853882,25.1257781982,train,2.0942199942650035E-4,53.2283031036859,0.7202159739016434
-98.4351709692,29.5686105207,train,2.714647590209703E-4,66.7081983730674,0.8081595156080889
-97.4304477482,49.4587352124,train,1.684243918527263E-5,2.6395297190816995,0.09736620065228352
-98.1427764893,30.509721756,train,2.1152557159895554E-4,53.76510381684135,0.7237727999479677
-98.1905360241,30.3423880181,train,2.038037105041509E-4,51.65926531290812,0.7104901615019656
-106.7717404561,35.1331639374,train,3.0699153313874846E-5,8.37470910388688,0.1703215352888201
-97.0487747192,28.8041591644,train,3.429724179443243E-4,75.36262552968518,0.8758185917389535
-98.888825,28.27371167,train,2.479869728778941E-4,62.49902795725757,0.7787131600172518
-97.4257354736,31.0119514465,train,2.1846844050784966E-4,55.34442519636268,0.7351943653805193
-98.6298216667,29.4689216667,train,2.933964769825023E-4,69.87412788700408,0.8321161985206662
-106.9046395631,32.4076508583,train,4.286423001383554E-5,11.95691089563708,0.22949331003911122
-99.4347882256,27.574594184,train,2.775904900771168E-4,67.66391164435883,0.8151755301163548
-96.8051908478,28.3019206811,train,4.384133669015142E-4,85.05059107824539,0.9305048678938749
-97.599571228,30.4129981995,train,2.4870672354712956E-4,62.671440450689644,0.7796797560043389
-98.2489626544,29.2482405609,train,2.799847299611016E-4,68.0480695365763,0.8178474683047047
