Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.04219E-7,0.000030422,0.000864727,1,0,0
3.41535E-7,0.000064575,0.000970746,0.999903754,0,0
3.62319E-7,0.000100807,0.001029787,0.999807507,0,0
3.97422E-7,0.000256436,0.001129501,0.999422522,0,0
4.91854E-7,0.000526698,0.001397696,0.998845043,0,0
5.56381E-7,0.001011321,0.001580917,0.997978826,0,0
7.79597E-7,0.002575822,0.002214468,0.995765159,0,0
9.68016E-7,0.005001805,0.002748941,0.99307026,0,0
1.26056E-6,0.010098484,0.003578197,0.988739172,0,0
1.67724E-6,0.025107085,0.004758169,0.979114533,0,0
2.16374E-6,0.05020651,0.006134099,0.96641001,0,0
3.11667E-6,0.100095014,0.008823637,0.948508181,0,0
4.36993E-6,0.200363329,0.012349784,0.922425409,0,0
5.2565E-6,0.300071425,0.014836638,0.902694899,0,0
5.75679E-6,0.400396677,0.016237181,0.885178056,0,0
6.15644E-6,0.500021874,0.01735459,0.869104909,0,0
6.44803E-6,0.600383869,0.018169039,0.853801732,0,0
6.71788E-6,0.700645696,0.018922176,0.839172281,0,0
6.80613E-6,0.750014148,0.019168341,0.832146295,0,0
6.90572E-6,0.800091655,0.019446076,0.825120308,0,0
7.10878E-6,0.900113221,0.020012125,0.811357074,0,0
7.30654E-6,1.000287479,0.020563095,0.797978826,0,0
7.4884E-6,1.100109602,0.021069463,0.784985563,0,0
7.64185E-6,1.200007876,0.021496544,0.772281039,0,0
7.82159E-6,1.300454566,0.02199656,0.759769009,0,0
7.9879E-6,1.40079086,0.022458989,0.747545717,0,0
8.16171E-6,1.500124092,0.02294201,0.735707411,0,0
8.54944E-6,1.750124829,0.024018705,0.70692974,0,0
8.90528E-6,2.000504359,0.025005807,0.679307026,0,0
9.38132E-6,2.250681693,0.02632475,0.652935515,0,0
1.00203E-5,2.500773668,0.028092268,0.628103946,0,0
1.08803E-5,2.750677302,0.030466257,0.605101059,0,0
1.17173E-5,3.000087033,0.032771296,0.583830606,0,0
1.2638E-5,3.251011782,0.035300198,0.56400385,0,0
1.35701E-5,3.500688312,0.037853887,0.545717036,0.00204918,0.008264463
1.43999E-5,3.751095385,0.040121754,0.528488932,0.00204918,0.008264463
1.53642E-5,4.000947551,0.042750027,0.512319538,0.00204918,0.008264463
1.65117E-5,4.251508685,0.045868732,0.497208855,0.00204918,0.008264463
1.78143E-5,4.500351093,0.049396548,0.483253128,0.004098361,0.008264463
1.9129E-5,4.751278079,0.052943808,0.470163619,0.004098361,0.008264463
2.0385E-5,5.000641617,0.05632034,0.458036574,0.006147541,0.008264463
2.15847E-5,5.250801595,0.059534272,0.446583253,0.008196721,0.008264463
2.2661E-5,5.500768053,0.062408261,0.435707411,0.008196721,0.008264463
2.36518E-5,5.750772064,0.065046191,0.425312801,0.008196721,0.008264463
2.4844E-5,6.000847382,0.068210633,0.415399423,0.008196721,0.008264463
2.60003E-5,6.250051409,0.07126939,0.405967276,0.010245902,0.008264463
2.71013E-5,6.500036686,0.074172541,0.396920115,0.012295082,0.008264463
2.81254E-5,6.75107394,0.076864846,0.388161694,0.012295082,0.008264463
2.88652E-5,7.001929943,0.078804721,0.379692012,0.012295082,0.008264463
2.96984E-5,7.250913691,0.080984907,0.371511068,0.012295082,0.008264463
3.07514E-5,7.501291637,0.083732752,0.363522618,0.014344262,0.008264463
3.18205E-5,7.750990008,0.086514016,0.355822907,0.014344262,0.008264463
3.30099E-5,8.00089509,0.089598364,0.348411935,0.016393443,0.008264463
3.40685E-5,8.252069944,0.092334958,0.341193455,0.016393443,0.008264463
3.51349E-5,8.500988549,0.095083359,0.334263715,0.018442623,0.008264463
3.6086E-5,8.753595974,0.09752744,0.327430221,0.018442623,0.016528926
3.71437E-5,9.002745984,0.100237779,0.320885467,0.020491803,0.016528926
3.81362E-5,9.250992744,0.102773717,0.314533205,0.026639344,0.024793388
3.90826E-5,9.501957611,0.105185006,0.30827719,0.028688525,0.024793388
4.02903E-5,9.751971425,0.108252911,0.302213667,0.028688525,0.033057851
4.15079E-5,10.001137677,0.111335113,0.296342637,0.028688525,0.033057851
4.28257E-5,10.254146867,0.114659104,0.290567854,0.030737705,0.033057851
4.41481E-5,10.502276552,0.117982147,0.285081809,0.034836066,0.033057851
4.60103E-5,10.754401492,0.122640469,0.279692012,0.036885246,0.041322314
4.7668E-5,11.002536945,0.126766757,0.274590953,0.036885246,0.049586777
4.96289E-5,11.251069778,0.13162254,0.269682387,0.038934426,0.049586777
5.1437E-5,11.503275007,0.136075879,0.264870067,0.043032787,0.049586777
5.29438E-5,11.754076555,0.139769718,0.260250241,0.047131148,0.05785124
5.44635E-5,12.000904812,0.143479105,0.255822907,0.049180328,0.066115702
5.62318E-5,12.255595419,0.147775325,0.251395573,0.051229508,0.066115702
5.73654E-5,12.500102094,0.150518283,0.247256978,0.057377049,0.074380165
5.90485E-5,12.750958083,0.154574322,0.243118383,0.05942623,0.082644628
6.0581E-5,13.002141079,0.158250611,0.239076035,0.05942623,0.082644628
6.2272E-5,13.254485109,0.162288516,0.235129933,0.06147541,0.090909091
6.36163E-5,13.505912906,0.165484826,0.231280077,0.067622951,0.090909091
6.52146E-5,13.750416783,0.169269041,0.227622714,0.071721311,0.099173554
6.69019E-5,14.00115402,0.173245641,0.223965351,0.077868852,0.099173554
6.86396E-5,14.252518771,0.177320807,0.220404235,0.086065574,0.099173554
7.01658E-5,14.502413059,0.180883496,0.216939365,0.088114754,0.099173554
7.19298E-5,14.750610867,0.184982049,0.213570741,0.090163934,0.099173554
7.39801E-5,15.006134291,0.189720246,0.210202117,0.092213115,0.099173554
7.55701E-5,15.252879257,0.19337561,0.207025987,0.092213115,0.099173554
7.73409E-5,15.505435475,0.197427231,0.203849856,0.094262295,0.099173554
7.99949E-5,15.757205837,0.203461539,0.200769971,0.096311475,0.099173554
8.31041E-5,16.002199435,0.210473206,0.197882579,0.098360656,0.099173554
8.60255E-5,16.255594212,0.217004906,0.194995188,0.100409836,0.107438017
8.80757E-5,16.507763203,0.221556554,0.192204042,0.102459016,0.107438017
9.15812E-5,16.75841491,0.229278019,0.189509143,0.102459016,0.115702479
9.41847E-5,17.009232878,0.234962884,0.186910491,0.104508197,0.123966942
9.67585E-5,17.257422482,0.240541809,0.184408085,0.104508197,0.123966942
9.90886E-5,17.501911877,0.245557364,0.182001925,0.104508197,0.123966942
1.0092E-4,17.751780565,0.249476967,0.179595765,0.108606557,0.123966942
1.02801E-4,18.006616941,0.253479854,0.177189605,0.112704918,0.132231405
1.05243E-4,18.256881032,0.258645813,0.174879692,0.112704918,0.132231405
1.08698E-4,18.502819346,0.265894021,0.172666025,0.116803279,0.140495868
1.11696E-4,18.756543266,0.272127107,0.170452358,0.120901639,0.140495868
1.1392E-4,19.004816712,0.27671493,0.168334937,0.12295082,0.140495868
1.16056E-4,19.258248029,0.281094324,0.166217517,0.125,0.140495868
1.18116E-4,19.50472917,0.285293549,0.164196343,0.135245902,0.148760331
1.214E-4,19.755705309,0.291938239,0.162175168,0.137295082,0.157024793
1.24206E-4,20.001665484,0.297563734,0.160250241,0.137295082,0.157024793
1.26665E-4,20.25255986,0.302458994,0.158325313,0.139344262,0.165289256
1.29509E-4,20.508831577,0.308077623,0.156400385,0.143442623,0.165289256
1.33986E-4,20.759135491,0.316830376,0.154571704,0.145491803,0.165289256
1.36935E-4,21.003234081,0.322536599,0.152839269,0.145491803,0.165289256
1.40012E-4,21.252863624,0.328438645,0.151106833,0.147540984,0.173553719
1.4337E-4,21.508196828,0.334821262,0.149374398,0.155737705,0.181818182
1.48085E-4,21.757027055,0.34367887,0.14773821,0.155737705,0.181818182
1.5049E-4,22.010847866,0.348153078,0.146102021,0.157786885,0.181818182
1.52412E-4,22.253368158,0.351705538,0.144562079,0.157786885,0.181818182
1.56903E-4,22.501578321,0.359932353,0.143022137,0.161885246,0.181818182
1.59655E-4,22.754758106,0.364921804,0.141482194,0.168032787,0.190082645
1.62616E-4,23.012127728,0.370247756,0.139942252,0.170081967,0.190082645
1.65799E-4,23.258566952,0.375921057,0.138498556,0.174180328,0.190082645
1.70048E-4,23.511014867,0.383416373,0.13705486,0.174180328,0.190082645
1.72476E-4,23.75111263,0.387659715,0.135707411,0.176229508,0.190082645
1.75093E-4,24.012296777,0.392200153,0.134263715,0.180327869,0.190082645
1.7701E-4,24.258661979,0.395503424,0.132916266,0.182377049,0.198347107
1.80132E-4,24.507996199,0.400847247,0.131568816,0.18442623,0.198347107
1.83588E-4,24.762383339,0.406705559,0.130221367,0.19057377,0.20661157
1.85212E-4,25.001949737,0.409438835,0.128970164,0.192622951,0.214876033
1.88876E-4,25.264006665,0.415560644,0.127622714,0.196721311,0.214876033
1.90654E-4,25.510571733,0.418508154,0.126371511,0.200819672,0.214876033
