Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.06836E-5,0.001068362,0.075818466,1,0,0
1.19926E-5,0.003463999,0.084703528,0.999821221,0,0
1.21078E-5,0.005884802,0.085481417,0.999642442,0,0
1.232E-5,0.010781812,0.086912139,0.999284884,0,0
1.26747E-5,0.025793895,0.089299462,0.998212211,0,0
1.29927E-5,0.050197405,0.091434277,0.996513811,0,0
1.35303E-5,0.100769432,0.095031809,0.993117011,0,0
1.40581E-5,0.200203825,0.098550252,0.986680969,0,0
1.44947E-5,0.301364193,0.101450316,0.980334317,0,0
1.47441E-5,0.400738493,0.103102191,0.974255833,0,0
1.50725E-5,0.500802564,0.105273485,0.968266738,0,0
1.5488E-5,0.600090719,0.108013118,0.962456423,0,0
1.59272E-5,0.700660386,0.110899381,0.956735497,0,0
1.61033E-5,0.750319378,0.112054591,0.953964423,0,0
1.62488E-5,0.800475264,0.113007518,0.951193349,0.000677507,0
1.65896E-5,0.900584397,0.115235449,0.945740592,0.000677507,0
1.67976E-5,1.000750647,0.116592739,0.940377224,0.000677507,0
1.70696E-5,1.100633742,0.118364227,0.935103245,0.00203252,0
1.74259E-5,1.200622392,0.120679186,0.929918656,0.002710027,0
1.77148E-5,1.300876896,0.122552517,0.924823456,0.002710027,0
1.79412E-5,1.400732344,0.124017358,0.919817645,0.002710027,0
1.82254E-5,1.500139587,0.125852871,0.914901225,0.002710027,0
1.86751E-5,1.751274531,0.128748777,0.902744257,0.002710027,0
1.91718E-5,2.001136463,0.1319367,0.890944847,0.002710027,0
1.96167E-5,2.251277988,0.134782238,0.879413605,0.004065041,0
2.0194E-5,2.500274258,0.138460773,0.868239921,0.004742547,0
2.06065E-5,2.751296616,0.141079961,0.857245017,0.004742547,0
2.10989E-5,3.001440413,0.144195442,0.84651828,0.004742547,0
2.16172E-5,3.25129851,0.147462448,0.836059712,0.005420054,0
2.21436E-5,3.500477873,0.150768464,0.825869313,0.005420054,0
2.29184E-5,3.750682901,0.155610682,0.815947081,0.005420054,0
2.36987E-5,4.001907977,0.160459194,0.806293019,0.006097561,0
2.45125E-5,4.252158635,0.165486207,0.796996514,0.006775068,0
2.51966E-5,4.500952131,0.169688589,0.788057567,0.006775068,0
2.58809E-5,4.751385293,0.173871506,0.779297399,0.008130081,0
2.65143E-5,5.000627226,0.177724468,0.770805399,0.008130081,0
2.723E-5,5.25041969,0.182056281,0.762492178,0.010162602,0
2.78473E-5,5.501007373,0.185773852,0.754357737,0.010162602,0
2.83618E-5,5.75108133,0.188859595,0.746402074,0.010840108,0
2.89115E-5,6.000152132,0.192143719,0.73862519,0.012195122,0
2.94774E-5,6.251490848,0.195510975,0.730937696,0.014227642,0
3.01005E-5,6.501658313,0.199201904,0.72342898,0.015582656,0
3.05923E-5,6.750395173,0.202102932,0.716099044,0.016260163,0
3.11137E-5,7.000046591,0.205167485,0.708858496,0.016937669,0
3.16593E-5,7.251124076,0.208361544,0.701707339,0.01897019,0
3.21093E-5,7.502968113,0.210986158,0.694645571,0.020325203,0
3.25025E-5,7.751822512,0.213272339,0.687762582,0.022357724,0
3.29268E-5,8.000421947,0.21573228,0.680968982,0.022357724,0
