X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-122.2918243408,37.7699012756,train,2.2056855228859865E-4,67.15647853109333,0.7803966192359544
-111.9374656677,33.4050149349,train,1.7607123735613928E-4,55.66116900440456,0.7018353080698994
-122.5019123,37.7836073,train,3.817647512344101E-4,86.7623889100272,0.9274738227047647
-110.2374386787,31.393932498,train,1.105686488027107E-4,32.765110997724264,0.5322964082667322
-122.6597442627,38.453956604,train,1.5782467737462434E-4,49.71814647707981,0.6619980507292722
-115.97225,32.813639,train,2.6040767987929434E-4,72.77111529797646,0.8329964298911078
-118.7202733755,34.2320309495,train,2.7479683596634986E-4,74.75438404101037,0.8487217531880117
-81.225668,39.6286843,train,6.0997381659068294E-5,18.46934425878549,0.3424438969650929
-111.15844,33.2794899,train,1.4766272660800424E-4,46.024942132841865,0.6375476145142616
-122.7948465943,38.5647612777,train,1.5253919006640742E-4,47.81233115486065,0.6494939503197564
-119.8158441612,34.4437746643,train,3.6487900969015745E-4,85.06819493058639,0.9185490867117931
-116.0541689,34.1355582,train,1.303075255699001E-4,39.507014694476325,0.5916304109503954
-88.1079348922,30.256431838,train,3.247358459408304E-4,80.97801010824732,0.8926710890186571
-122.223136874,37.4574902875,train,2.5781798852990423E-4,72.39234809532833,0.8299974015224698
-117.5558352,33.6323262,train,3.4262827131880796E-4,82.81890972713396,0.9050902639638351
-84.257558,30.429719,train,2.4365684702676077E-4,70.25636606883198,0.8126195636195092
-97.937,26.89,train,2.973478540227285E-4,77.91582420345357,0.8704416555194416
-120.843295455,35.3471868201,train,3.202188538570772E-4,80.5463401738462,0.8892868509191176
-123.14852,48.0853648,train,1.7800340372352934E-4,56.33949820295564,0.7057686028981298
-110.9923969687,32.3401683637,train,1.3893691613552293E-4,42.53259543555969,0.6151459364034506
-98.6107599735,34.7783062293,train,1.058569643826653E-4,31.32819418519761,0.516903033036155
-117.2184884548,32.8375823957,train,4.1008599727234834E-4,88.7646809046331,0.9403018999344975
-122.3964500427,37.2568051898,train,3.0887438971722333E-4,79.02050476776101,0.8803092550582866
-117.2449932,32.68582,train,4.731508497561798E-4,92.57045071587696,0.9612989933984557
-122.3981666667,37.7961666667,train,2.5414579590774314E-4,71.82109049040359,0.8256522075924617
-117.0857942,32.5542929,train,4.2255553209401693E-4,90.32459298922237,0.9452049923520981
-89.07019,37.218131,train,7.381586549374641E-5,22.44841385942549,0.39789568496329464
-97.603902,34.171198,train,1.1319963892970778E-4,33.8046858250004,0.5406775943065513
-96.642893,34.194635,train,1.2168242452103537E-4,36.682798502416084,0.5666908039688532
-122.497644,37.498734,train,3.331201981948779E-4,81.80782631912129,0.8986810208236158
-121.008324,38.917049,train,1.4356285530494858E-4,44.38051921959246,0.6271892675515353
-81.551342,41.280865,train,5.403031592912375E-5,15.907131391493941,0.3101917847055503
-117.033169,32.841164,train,3.5105828660467165E-4,83.60470873735079,0.9104328920227828
-121.9485397339,36.5179481506,train,3.9103691181395115E-4,87.58054489333516,0.9319514449722139
-117.273028,33.012112,train,3.901806897051414E-4,87.53436473787113,0.9315498206633309
-99.81196,30.445399,train,1.5036834073298643E-4,47.02370701957144,0.6442252290772983
-96.987755,28.136308,train,4.261856927556783E-4,90.57988806718376,0.9465551875615626
-98.248372,30.314209,train,1.7749924214645202E-4,56.13177610160204,0.7047473164401628
-122.418723,37.666225,train,3.057642878211438E-4,78.68123769910042,0.8777232986123803
-116.954806,32.840985,train,3.102653595732481E-4,79.35900610022149,0.8814480360557235
-118.473417,34.17735,train,3.211676795692568E-4,80.62759143557275,0.8900064764315901
-120.828359,35.333663,train,2.5650041556884426E-4,72.15757696225631,0.8284509572843288
-115.6521166667,34.78106,train,1.452352158311618E-4,45.00812547091003,0.6314497719874643
-96.666485,33.055568,train,1.458319313444263E-4,45.301945568362996,0.6329581491422284
-122.76903,48.119331,train,1.9464934168365316E-4,60.54446842286007,0.7375759598837652
-122.275944,37.915289,train,1.783161127076718E-4,56.49608091418783,0.7064002855379865
-121.9561666667,37.9149366667,train,1.5360958263623757E-4,48.13506384664431,0.6520630342229004
-115.269939,32.76576,train,1.751839845775694E-4,55.45118565836763,0.7000115610938451
-106.692313,35.186136,train,5.177337170204128E-5,14.967335018027407,0.29940832734142164
-118.038552,34.082828,train,3.322273096555862E-4,81.73225999077185,0.8980573470576437
-118.287676,34.0174,train,3.8124778414508207E-4,86.69705881217178,0.9272156765734092
-122.059944,36.982978,train,2.9420333274434915E-4,77.39619692846327,0.8676111924171034
-118.095978,34.179572,train,1.8899863599830665E-4,59.011909976571395,0.7271838676916615
-105.5389466667,39.7300133333,train,4.891125884955991E-5,13.744950739182388,0.2854906625090208
-102.119826,31.963289,train,1.1280160223378628E-4,33.68187628496417,0.539419332269379
-95.93678,33.594456,train,1.2969260042976972E-4,39.20558996058792,0.5899008739065437
-116.642418,31.869132,train,3.8316762182340056E-4,86.87683745277597,0.9281697383310991
-122.589878,48.14403,train,2.042973203066107E-4,62.999893624173346,0.7544126559311943
-106.882379,34.351382,train,5.215967156968922E-5,15.114442272656067,0.3012659149905189
-122.308037,47.672462,train,1.6942414453775188E-4,53.47111275958469,0.6878978959406807
-100.356395,25.711688,train,2.3579235887595507E-4,69.36601592969889,0.8022126762020716
-90.952796,30.34551,train,2.3340682117818244E-4,68.9265063266623,0.7989431411341268
-98.134705,26.291672,train,3.308269951565544E-4,81.59749968923569,0.8970715007240476
-106.891007,33.804871,train,5.7865371647051874E-5,17.50156562436998,0.3281360335522431
-117.320749,33.953478,train,1.9709720452717411E-4,61.26138813567444,0.7419539901785173
-118.284457,33.714184,train,4.2374747361933665E-4,90.40720871276056,0.94565204066399
-96.685756,32.857032,train,1.6222906119855619E-4,50.97591584148258,0.6720762731982708
-97.025776,30.383684,train,2.080848157761481E-4,64.05485740975315,0.7607230142062804
-117.399988,33.535671,train,2.553168777996035E-4,71.96863051202553,0.8270498411664841
-120.730509,35.18041,train,3.252055083799582E-4,81.02805711038813,0.8930169790022622
-99.71303,29.496348,train,1.918845566323348E-4,59.74750820609527,0.7325417198748989
-117.9300980556,33.9767663611,train,3.534116770574419E-4,83.84095860789692,0.9118699398036691
-122.839,38.354,train,1.6882205940711375E-4,53.21413273897963,0.6866037309454385
-97.646463,30.234821,train,1.997641773221123E-4,61.90865600132061,0.746640804548057
-121.917415,37.226171,train,2.1488212171355184E-4,65.86910461674819,0.7716441798588352
-98.114288,30.198502,train,1.7895815596738728E-4,56.711145965640625,0.7076929870393494
-96.958003,32.62491,train,1.5648829273041007E-4,49.2952402642399,0.6588792844449434
-121.1829116667,36.4796483333,train,1.6220956925767436E-4,50.96432053349603,0.6720323399621169
-121.929376,36.45283,train,4.3171248531678036E-4,90.88021078151984,0.9485472031072615
-118.426022,34.367155,train,2.1380003543794042E-4,65.62155571515947,0.7699395657541402
-97.174035,26.137274,train,4.636494116108553E-4,92.28755026137196,0.9586874029888977
-100.270884,25.549304,train,2.3441686832401104E-4,69.10023413146172,0.8003340227804208
-117.821515,33.831835,train,3.601665019908928E-4,84.49095836391082,0.9158678434217077
-78.56647452,36.8061271,train,1.088333500589636E-4,32.177168976480424,0.5266849789026565
-121.404607,36.854719,train,1.27087217580932E-4,38.26946780106251,0.5824913433374981
-95.419855,29.0425916667,train,3.2548936554440533E-4,81.05683294851384,0.8932254892146856
-122.061556,37.086765,train,2.854254315500855E-4,76.2143418728457,0.8593784544387852
-98.742072,29.472362,train,2.0823808768639823E-4,64.15643910129332,0.7609749390231373
-97.281314,32.886662,train,1.4883474852157413E-4,46.50732021719502,0.6404554839297882
-117.9002280278,34.0414080556,train,3.181602271810236E-4,80.40663071646647,0.8877092798546167
-122.321213,37.590604,train,2.3057139979179182E-4,68.4878090342838,0.7949866409718553
-118.346896,33.7797,train,4.675728678826158E-4,92.40019196091438,0.9597865232454867
-117.4389,33.925435,train,2.5805455908642285E-4,72.43628663364846,0.8302735860944528
-122.516703,47.703456,train,1.9219942233194323E-4,59.83379466940845,0.7331198794887113
-116.93983,32.72791,train,3.348814473389363E-4,81.94537260377543,0.8999000719213432
-122.929056,46.510065,train,1.4876396269477172E-4,46.47339279686955,0.6402805231110038
-78.663555,37.700767,train,9.397233999036197E-5,27.89389733142482,0.4757867827598655
-78.939626,36.003026,train,1.1913048283789307E-4,35.80962599313325,0.5590239187752875
-110.880372,31.725033,train,1.1982256030005896E-4,36.05485338795195,0.5611164572821283
-121.694012,37.021277,train,2.2133792359881903E-4,67.2488916727188,0.7815547656569986
-121.872608,37.160768,train,2.6996014112937286E-4,74.13025652798667,0.8436084715484624
-118.412434,34.117738,train,4.289719730649888E-4,90.78951125656967,0.9475689002482232
-110.760719,31.539006,train,1.1743581699553305E-4,35.10472895536404,0.5538577701979119
-117.144123,32.734382,train,3.978357649999867E-4,88.02092797408537,0.9350580320229148
-103.783944,30.94421,train,1.1537780891234676E-4,34.438088566276164,0.5475025351681406
-110.141809,31.547979,train,1.0398834713263738E-4,30.87954753068749,0.5106587499288168
-121.330091,35.781402,train,3.5074729989955316E-4,83.573957039211,0.910241249995078
-115.430254,36.1584,train,1.0648005574616846E-4,31.48817051724122,0.5189674272800794
-111.167519,32.24345,train,1.3518060646927719E-4,41.18652165933521,0.6050809848878489
-111.732719,33.360517,train,1.638061169649716E-4,51.467616909454556,0.6756113965233121
-94.024,30.813845,train,1.9545447559495195E-4,60.70974486227852,0.7390240876206979
-94.390965,29.57377,train,3.147549768804668E-4,80.11534283160594,0.8850502632247856
-90.121485,29.784782,train,3.14885371586581E-4,80.13090770324526,0.885153232944359
-93.473485,29.770248,train,3.072506863821377E-4,78.8233965531366,0.8789660914135724
-98.21228,33.829357,train,1.2184835510767786E-4,36.72739423687219,0.567184674278698
-77.605263,37.462513,train,1.0750524638562877E-4,31.811984375557223,0.522344855911503
-83.0741500854,36.2858649944,train,9.470501351319632E-5,28.09932804130146,0.47841984815710203
-121.736772,38.549261,train,1.2636214722211824E-4,38.062898795910364,0.5804055831604067
-80.074678,32.872189,train,2.2423803948669693E-4,67.53406505060059,0.7858657168772716
-97.872605,30.18531,train,1.873907194588514E-4,58.55124309640887,0.7241522696235423
-103.932488,30.596289,train,1.0276222684723401E-4,30.605922518242554,0.506517682981275
-116.3519497778,33.5632634511,train,1.3430476249218335E-4,40.91542759976611,0.6026965868706103
-123.226443,48.746705,train,2.0976268220799143E-4,64.69340161542434,0.7634664374932436
-89.989271,35.146994,train,1.2538933704332156E-4,37.745764907381506,0.5775907890530273
-123.976081,49.185729,train,1.8240608621656817E-4,57.53341876596066,0.7145383785614703
-91.038989,30.426337,train,2.499564486059211E-4,71.23775704744476,0.8205592946198782
-105.126199,40.542178,train,4.700001154334209E-5,12.844013694233071,0.27604317176246895
-114.745186,31.944834,train,2.294711791406102E-4,68.20653811517018,0.793430527883624
-116.571006,34.05078,train,1.3892974904614378E-4,42.53021795276085,0.6151269786979997
-94.9350883333,29.2189933333,train,3.6582636455458187E-4,85.1345827646069,0.919077692291817
-124.007385,49.189838,train,1.6893878023467704E-4,53.26610780270849,0.6868550377067661
-96.7571591,30.7981938,train,2.1150744088456434E-4,65.13262677387807,0.7662858784886657
-119.281126,34.273054,train,3.6855662140927953E-4,85.36538460210879,0.9205820102164705
-122.492248,47.242029,train,1.8748365470295565E-4,58.57819709540898,0.724328405305839
-94.70722,31.331486,train,1.9851389473284352E-4,61.589021676583044,0.7444543104313514
-78.7512972222,35.817925,train,1.2865715173886793E-4,38.82513217456343,0.5869720056045884
-118.08915454,33.80616154,train,3.8545113267465553E-4,87.08007581930939,0.9292882569310084
-100.344747,34.117697,train,1.0762623175914949E-4,31.849438216391324,0.5227418672941331
-90.1184833333,30.0200945,train,3.325488884864617E-4,81.76320736741216,0.898282407785792
-118.422436,32.865157,train,4.7304791502447295E-4,92.56545315001642,0.9612716045352745
-117.157297,33.864163,train,1.7277104791528998E-4,54.57534509382259,0.6949951547899362
-118.090794,33.855069,train,3.660591531997082E-4,85.15089590608626,0.9192070579070305
-121.9602356851,37.4403746914,train,2.0293156838848875E-4,62.596888846590865,0.7520965743830867
-111.013691,32.249124,train,1.5291699565897759E-4,47.9321313153524,0.6504028927070673
-116.184516,32.61999,train,1.1925115897484723E-4,35.85408585487634,0.5593895072736232
-123.036977,38.32003,train,3.0780105810598114E-4,78.89019784466252,0.8794230514535184
-118.61481,34.250636,train,3.035340656905815E-4,78.48536706490451,0.8758346085788614
-118.411229,33.883798,train,4.7264116031356233E-4,92.54570487435527,0.9611631855188036
-111.772881467,37.105729552,train,5.278881913107863E-5,15.386520824904538,0.30428073932299715
-116.405683,33.259073,train,1.810210957320391E-4,57.24401370745484,0.7118081480221119
-118.235913,34.196858,train,2.4757113739051545E-4,70.92140711717397,0.8175933233443122
-97.014929,32.311411,train,1.561766756151584E-4,49.177861692261985,0.6581479252586395
-122.746779,38.352124,train,1.5579502873964485E-4,49.00975838427674,0.6572500710755931
