Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.06335E-5,0.002063351,0.248334042,1,0,0
2.0876E-5,0.004150953,0.25085161,0.999934495,0,0
2.09778E-5,0.006248737,0.25190626,0.99986899,0,0
2.1106E-5,0.010462326,0.253231491,0.99973798,0,0
2.31421E-5,0.025879401,0.273973611,0.999279445,0,0
2.40685E-5,0.052024654,0.283219588,0.998558889,0.000149903,0
2.52123E-5,0.101330194,0.294473307,0.997248788,0.000449708,0.00059988
2.66406E-5,0.200207043,0.308277357,0.994759596,0.001499026,0.00059988
2.74093E-5,0.300161874,0.315595057,0.99233591,0.001948733,0.00059988
2.79997E-5,0.402690592,0.321163255,0.989912223,0.002548344,0.00119976
2.84554E-5,0.501489995,0.325429345,0.987619547,0.003447759,0.00359928
2.88239E-5,0.601754669,0.328859364,0.98532687,0.004047369,0.00419916
2.90655E-5,0.700253265,0.331098799,0.983099699,0.004796882,0.00419916
2.9255E-5,0.752729886,0.332850125,0.981920608,0.00524659,0.00419916
2.93842E-5,0.800129971,0.334041483,0.980807022,0.005396492,0.00539892
2.96532E-5,0.900028196,0.336516047,0.978645356,0.0058462,0.00659868
2.99284E-5,1.001378321,0.339037363,0.976418184,0.00644581,0.00779844
3.01252E-5,1.100497514,0.34083429,0.974256518,0.00704542,0.01019796
3.02918E-5,1.200190689,0.34235213,0.972094851,0.007495128,0.0119976
3.04515E-5,1.30042438,0.343802855,0.969933185,0.008244641,0.013197361
3.06345E-5,1.401230228,0.345462258,0.967771518,0.008694349,0.013797241
3.07797E-5,1.502554071,0.346775903,0.965609852,0.009144056,0.013797241
3.10878E-5,1.750032675,0.349554376,0.960369448,0.010942887,0.014997001
3.13208E-5,2.002798473,0.351648099,0.95506354,0.012441913,0.016196761
3.15644E-5,2.251275386,0.353828693,0.949888641,0.013791036,0.019196161
3.17514E-5,2.501393368,0.355498708,0.944713743,0.014390646,0.020995801
3.19166E-5,2.75288195,0.356970094,0.939538844,0.014840354,0.022795441
3.20982E-5,3.002592075,0.358583458,0.934429451,0.016489282,0.023995201
3.22545E-5,3.250381112,0.359969114,0.929385563,0.017688502,0.025194961
3.2442E-5,3.502779894,0.361626989,0.924276169,0.019937041,0.026394721
3.26113E-5,3.750025785,0.363120765,0.919297786,0.021735872,0.027594481
3.27696E-5,4.001698741,0.364514263,0.914253898,0.0233848,0.029994001
3.29053E-5,4.251273742,0.365706287,0.909275514,0.025183631,0.031793641
3.30633E-5,4.501831481,0.367090922,0.904297131,0.027132364,0.032993401
3.32028E-5,4.750398816,0.36831085,0.899384253,0.028331584,0.035392921
3.3333E-5,5.003279744,0.369447735,0.894405869,0.030580123,0.035392921
3.35024E-5,5.250583974,0.37092428,0.889558496,0.031929246,0.035392921
3.3665E-5,5.502474293,0.372337668,0.884645618,0.033728077,0.037192561
3.38359E-5,5.752262891,0.373820356,0.879798244,0.036576225,0.038992202
3.40062E-5,6.003349472,0.375293604,0.874950871,0.038375056,0.041391722
3.41391E-5,6.252098247,0.376440816,0.870169003,0.039874082,0.041391722
3.43117E-5,6.501938349,0.377928642,0.865387135,0.0409234,0.043191362
3.44685E-5,6.752994826,0.379276631,0.860605267,0.043022036,0.044991002
3.46342E-5,7.001785688,0.38069778,0.855888903,0.044071354,0.047990402
3.47893E-5,7.251768182,0.382024839,0.85117254,0.045270574,0.048590282
3.49461E-5,7.502756658,0.383364105,0.846456177,0.046919502,0.052189562
3.5083E-5,7.751418629,0.384531131,0.841805319,0.048568431,0.053389322
3.52477E-5,8.001099826,0.385931572,0.837154461,0.050367261,0.054589082
3.54015E-5,8.251919535,0.387237202,0.832503603,0.051416579,0.055788842
3.55309E-5,8.500240667,0.388332975,0.82791825,0.052315995,0.057588482
3.56902E-5,8.753102891,0.389679355,0.823267392,0.053665118,0.059388122
3.58311E-5,9.003452975,0.390867978,0.818682039,0.05441463,0.059988002
3.60143E-5,9.251319557,0.392410595,0.81416219,0.055463948,0.062387522
3.61935E-5,9.500465943,0.393914572,0.809642342,0.056513266,0.064187163
3.63904E-5,9.750938629,0.395563151,0.805122494,0.057712487,0.065386923
3.6611E-5,10.002842819,0.397405564,0.800602646,0.059211513,0.067186563
3.68079E-5,10.252611931,0.399044542,0.796148303,0.060860441,0.067786443
3.69975E-5,10.503573521,0.400618617,0.79169396,0.061609954,0.069586083
3.71688E-5,10.752029119,0.402037827,0.787305122,0.063258882,0.070185963
3.74052E-5,11.001854577,0.403989952,0.782916285,0.065207615,0.072585483
3.76294E-5,11.253210974,0.405836148,0.778527447,0.066856543,0.074985003
3.78956E-5,11.502476517,0.408020553,0.774204114,0.068505471,0.076184763
3.81053E-5,11.753311818,0.409735385,0.769880781,0.069254984,0.077984403
3.82971E-5,12.001670248,0.411299352,0.765622953,0.071203718,0.078584283
3.85052E-5,12.251256768,0.41299226,0.761365125,0.073302353,0.079184163
3.87506E-5,12.502420022,0.414981331,0.757107297,0.075251087,0.079784043
3.89604E-5,12.751081447,0.416677522,0.752914974,0.078099235,0.082783443
3.9241E-5,13.001376951,0.418937601,0.748722652,0.079448359,0.084583083
3.94877E-5,13.253418365,0.420916796,0.744530329,0.08244641,0.087582484
3.97285E-5,13.502940932,0.42284314,0.740403511,0.083795533,0.089382124
3.99949E-5,13.750182498,0.424966621,0.736342198,0.084994753,0.089982004
4.02711E-5,14.003041822,0.427159469,0.732215381,0.086943487,0.091181764
4.05553E-5,14.253643891,0.429407015,0.728154068,0.088592415,0.092381524
4.07704E-5,14.501648077,0.43110289,0.72415826,0.090391246,0.092981404
4.10443E-5,14.751108782,0.433254953,0.720162453,0.092489882,0.093581284
4.13058E-5,15.002241399,0.435301301,0.716166645,0.093839005,0.094181164
4.15842E-5,15.250059713,0.437472467,0.712236342,0.095038225,0.095980804
4.18628E-5,15.501375647,0.439635996,0.70830604,0.096237446,0.098380324
4.21602E-5,15.753458236,0.441937347,0.704375737,0.097886374,0.100179964
4.24283E-5,16.002857576,0.444003474,0.700510939,0.099085594,0.101379724
4.26847E-5,16.253959868,0.445971623,0.696646142,0.100734523,0.102579484
4.29208E-5,16.502222213,0.447778429,0.692846849,0.102533353,0.104379124
4.32207E-5,16.752044144,0.450065235,0.689047557,0.104631989,0.106778644
4.34668E-5,17.003449299,0.451934061,0.685248264,0.107180333,0.109178164
4.37929E-5,17.252036085,0.454401556,0.681514477,0.109878579,0.112777445
4.40162E-5,17.502355764,0.456084261,0.677780689,0.113626143,0.114577085
4.42801E-5,17.753985515,0.458066535,0.674046902,0.115724779,0.117576485
4.45194E-5,18.002711326,0.459858053,0.670378619,0.117673512,0.120575885
4.47284E-5,18.252567881,0.461417708,0.666710337,0.119922051,0.124175165
4.50388E-5,18.50382943,0.463725091,0.663042054,0.122470394,0.125374925
4.52353E-5,18.752144729,0.465181488,0.659439277,0.124868835,0.128374325
4.54708E-5,19.001595001,0.466920809,0.655836499,0.127117374,0.130173965
4.57104E-5,19.252349298,0.468685223,0.652233722,0.129965522,0.131373725
4.60007E-5,19.504510896,0.470814944,0.648630945,0.132363963,0.134373125
4.62486E-5,19.753637273,0.472626373,0.645093672,0.134912307,0.136172765
4.6572E-5,20.004241041,0.474981044,0.6415564,0.138060261,0.136772645
4.68082E-5,20.251717423,0.476693618,0.638084633,0.140758507,0.139172166
4.70952E-5,20.500527684,0.478767211,0.634612865,0.143007045,0.141571686
4.75297E-5,20.751119381,0.481891552,0.631141098,0.146604707,0.145170966
4.78742E-5,21.003874517,0.484354687,0.627669331,0.149752661,0.148170366
4.8239E-5,21.253684571,0.486950911,0.624263068,0.153350322,0.149970006
4.85582E-5,21.500474886,0.489211115,0.620922311,0.155898666,0.154169166
4.89232E-5,21.753822989,0.491784108,0.617516049,0.158596912,0.158968206
4.92117E-5,22.004099669,0.49380856,0.614175291,0.161295158,0.161367726
4.9469E-5,22.25085921,0.495606988,0.610900039,0.164293209,0.162567487
