"AccSpeciesName","OrigValueStr"
"Luzula pilosa","brown"
"Luzula spicata","brown"
"Luzula sudetica","brown"
"Luzula sylvatica","brown"
"Myrica gale","brown"
"Neottia nidus-avis","brown"
"Gymnadenia rhellicani","brown"
"Nonea pulla","brown"
"Ophrys sphegodes subsp. araneola","brown"
"Ophrys sphegodes","brown"
"Anacamptis coriophora","brown"
"Orobanche caryophyllacea","brown"
"Orobanche salviae","brown"
"Orobanche teucrii","brown"
"Plantago indica","brown"
"Plantago atrata","brown"
"Plantago lanceolata","brown"
"Plantago maritima","brown"
"Comarum palustre","brown"
"Salix reticulata","brown"
"Salsola kali","brown"
"Sanguisorba officinalis","brown"
"Scrophularia auriculata","brown"
"Scrophularia canina","brown"
"Scrophularia nodosa","brown"
"Scrophularia scopolii","brown"
"Scrophularia umbrosa","brown"
"Sorbus chamaemespilus","brown"
"Stachys alpina","brown"
"Stachys sylvatica","brown"
"Abutilon theophrasti","yellow"
"Acer campestre","yellow"
"Acer negundo","yellow"
"Acer opalus","yellow"
"Acer platanoides","yellow"
"Acer pseudoplatanus","yellow"
"Orchis anthropophora","yellow"
"Achillea nobilis","yellow"
"Aconitum lycoctonum","yellow"
"Adonis vernalis","yellow"
"Agrimonia eupatoria","yellow"
"Agrimonia procera","yellow"
"Ailanthus altissima","yellow"
"Ajuga chamaepitys","yellow"
"Ajuga chamaepitys","yellow"
"Allium victorialis","yellow"
"Alyssum alyssoides","yellow"
"Alyssum montanum","yellow"
"Alyssum murale","yellow"
"Aurinia saxatilis subsp. orientalis","yellow"
"Anemone ranunculoides","yellow"
"Anemonoides seemenii","yellow"
"Anethum graveolens","yellow"
"Angelica archangelica","yellow"
"Cota tinctoria","yellow"
"Anthyllis vulneraria","yellow"
"Aposeris foetida","yellow"
"Aremonia agrimonoides","yellow"
"Aristolochia clematitis","yellow"
"Arnica montana","yellow"
"Arnoseris minima","yellow"
"Artemisia abrotanum","yellow"
"Artemisia absinthium","yellow"
"Artemisia annua","yellow"
"Artemisia austriaca","yellow"
"Artemisia biennis","yellow"
"Artemisia campestris","yellow"
"Artemisia dracunculus","yellow"
"Artemisia laciniata","yellow"
"Artemisia maritima","yellow"
"Artemisia pontica","yellow"
"Artemisia rupestris","yellow"
"Artemisia siversiana","yellow"
"Artemisia tournefortiana","yellow"
"Artemisia umbelliformis","yellow"
"Artemisia verlotiorum","yellow"
"Artemisia vulgaris","yellow"
"Asarina procumbens","yellow"
"Asparagus officinalis","yellow"
"Galatella linosyris","yellow"
"Astragalus cicer","yellow"
"Astragalus exscapus","yellow"
"Astragalus frigidus","yellow"
"Astragalus glycyphyllos","yellow"
"Astragalus penduliflorus","yellow"
"Barbarea intermedia","yellow"
"Barbarea stricta","yellow"
"Barbarea verna","yellow"
"Barbarea vulgaris","yellow"
"Berberis vulgaris","yellow"
"Stachys alopecuros","yellow"
"Bidens cernua","yellow"
"Biscutella laevigata","yellow"
"Blackstonia acuminata","yellow"
"Blackstonia perfoliata","yellow"
"Blackstonia perfoliata","yellow"
"Brassica elongata","yellow"
"Brassica juncea","yellow"
"Brassica napus","yellow"
"Brassica nigra","yellow"
"Brassica oleracea","yellow"
"Brassica rapa","yellow"
"Brassica rapa","yellow"
"Bunias erucago","yellow"
"Bunias orientalis","yellow"
"Buphthalmum salicifolium","yellow"
"Bupleurum falcatum","yellow"
"Bupleurum longifolium","yellow"
"Bupleurum ranunculoides","yellow"
"Bupleurum rotundifolium","yellow"
"Bupleurum tenuissimum","yellow"
"Calendula arvensis","yellow"
"Calendula arvensis","yellow"
"Caltha palustris","yellow"
"Willemetia stipitata","yellow"
"Camelina alyssum","yellow"
"Camelina microcarpa","yellow"
"Camelina sativa","yellow"
"Campanula thyrsoides","yellow"
"Caragana arborescens","yellow"
"Carlina acanthifolia","yellow"
"Carlina biebersteinii","yellow"
"Carlina vulgaris","yellow"
"Carthamus tinctorius","yellow"
"Celosia argentea","yellow"
"Centaurea solstitialis","yellow"
"Centaurea solstitialis","yellow"
"Ceratocephala falcata","yellow"
"Cerinthe glabra","yellow"
"Cerinthe minor","yellow"
"Chamaecytisus ratisbonensis","yellow"
"Chamaecytisus supinus","yellow"
"Erysimum cheiri","yellow"
"Erysimum cheiri","yellow"
"Chelidonium majus","yellow"
"Chondrilla chondrilloides","yellow"
"Chondrilla juncea","yellow"
"Glebionis segetum","yellow"
"Chrysosplenium alternifolium","yellow"
"Chrysosplenium oppositifolium","yellow"
"Cicendia filiformis","yellow"
"Cirsium oleraceum","yellow"
"Cirsium spinosissimum","yellow"
"Cirsium x rigens","yellow"
"Centaurea benedicta","yellow"
"Centaurea benedicta","yellow"
"Coincya monensis","yellow"
"Collomia grandiflora","yellow"
"Colutea arborescens","yellow"
"Corallorrhiza trifida","yellow"
"Cornus mas","yellow"
"Coronilla coronata","yellow"
"Hippocrepis emerus","yellow"
"Coronilla vaginalis","yellow"
"Lepidium didymum","yellow"
"Crepis alpestris","yellow"
"Crepis biennis","yellow"
"Crepis pontana","yellow"
"Crepis capillaris","yellow"
"Crepis conyzifolia","yellow"
"Crepis foetida","yellow"
"Crepis jacquinii","yellow"
"Crepis mollis","yellow"
"Crepis nicaeensis","yellow"
"Crepis paludosa","yellow"
"Crepis praemorsa","yellow"
"Crepis pulchra","yellow"
"Crepis pyrenaica","yellow"
"Crepis setosa","yellow"
"Crepis vesicaria subsp. taraxacifolia","yellow"
"Crepis tectorum","yellow"
"Crepis terglouensis","yellow"
"Crocus vernus","yellow"
"Cruciata glabra","yellow"
"Cruciata laevipes","yellow"
"Cytisus striatus","yellow"
"Descurainia sophia","yellow"
"Digitalis grandiflora","yellow"
"Digitalis lutea","yellow"
"Diplotaxis muralis","yellow"
"Diplotaxis tenuifolia","yellow"
"Diplotaxis viminea","yellow"
"Doronicum austriacum","yellow"
"Doronicum columnae","yellow"
"Doronicum columnae","yellow"
"Doronicum glaciale","yellow"
"Doronicum grandiflorum","yellow"
"Doronicum pardalianches","yellow"
"Draba aizoides","yellow"
"Draba nemorosa","yellow"
"Draba sauteri","yellow"
"Duchesnea indica","yellow"
"Elaeagnus angustifolia","yellow"
"Elaeagnus commutata","yellow"
"Epipogium aphyllum","yellow"
"Eranthis hyemalis","yellow"
"Erechtites hieraciifolius","yellow"
"Eriophyllum lanatum","yellow"
"Erucastrum nasturtiifolium","yellow"
"Erysimum cheiranthoides","yellow"
"Erysimum crepidifolium","yellow"
"Erysimum marschallianum","yellow"
"Erysimum odoratum","yellow"
"Erysimum repandum","yellow"
"Erysimum virgatum","yellow"
"Euphorbia epithymoides","yellow"
"Euphorbia palustris","yellow"
"Euphorbia segetalis","yellow"
"Euphorbia seguieriana","yellow"
"Euphorbia verrucosa","yellow"
"Euphorbia lamarckii","yellow"
"Euphorbia x pseudovirgata","yellow"
"Euphrasia simonkaiana","yellow"
"Filago arvensis","yellow"
"Filago gallica","yellow"
"Filago lutescens","yellow"
"Filago minima","yellow"
"Filago pyramidata","yellow"
"Filago germanica","yellow"
"Foeniculum vulgare","yellow"
"Forsythia suspensa","yellow"
"Fumana procumbens","yellow"
"Gagea bohemica","yellow"
"Gagea liotardii","yellow"
"Gagea lutea","yellow"
"Gagea minima","yellow"
"Gagea pratensis","yellow"
"Gagea pratensis","yellow"
"Gagea spathacea","yellow"
"Gagea villosa","yellow"
"Lamium galeobdolon subsp. argentatum","yellow"
"Lamium galeobdolon subsp. flavidum","yellow"
"Lamium galeobdolon","yellow"
"Lamium galeobdolon subsp. montanum","yellow"
"Galeopsis segetum","yellow"
"Galeopsis speciosa","yellow"
"Galium parisiense","yellow"
"Galium verum","yellow"
"Galium verum subsp. wirtgenii","yellow"
"Genista anglica","yellow"
"Genista germanica","yellow"
"Genista pilosa","yellow"
"Genista tinctoria","yellow"
"Genista sagittalis","yellow"
"Gentiana lutea","yellow"
"Gentiana punctata","yellow"
"Geum macrophyllum","yellow"
"Geum montanum","yellow"
"Geum reptans","yellow"
"Geum urbanum","yellow"
"Glaucium flavum","yellow"
"Laphangium luteoalbum","yellow"
"Gnaphalium sylvaticum","yellow"
"Gnaphalium uliginosum","yellow"
"Guizotia abyssinica","yellow"
"Hacquetia epipactis","yellow"
"Helianthemum oelandicum subsp. alpestris","yellow"
"Helianthemum oelandicum subsp. incanum","yellow"
"Helianthemum nummularium","yellow"
